,dataset_name,model_name,layers,perplexity,test_len,n_layers
0,['SQUAD'],Uniform,[],23.04331240760797,762,0
1,['SQUAD'],Uniform,[0],831.0612153958881,762,1
2,['SQUAD'],Uniform,[1],22.95822569819485,762,1
3,['SQUAD'],Uniform,[2],21.580229231284267,762,1
4,['SQUAD'],Uniform,[3],22.542280629734016,762,1
5,['SQUAD'],Uniform,[4],24.4071168387222,762,1
6,['SQUAD'],Uniform,[5],26.387994803361178,762,1
7,['SQUAD'],Uniform,[6],25.59633162146856,762,1
8,['SQUAD'],Uniform,[7],25.47150234705793,762,1
9,['SQUAD'],Uniform,[8],24.37175065876293,762,1
10,['SQUAD'],Uniform,[9],23.86595405055468,762,1
11,['SQUAD'],Uniform,[10],24.601441585719368,762,1
12,['SQUAD'],Uniform,[11],28.605624606051048,762,1
13,['SQUAD'],Uniform,"[0, 8]",815.4877276959292,762,2
14,['SQUAD'],Uniform,"[4, 5]",31.06309238122974,762,2
15,['SQUAD'],Uniform,"[4, 5]",31.06309238122974,762,2
16,['SQUAD'],Uniform,"[4, 9]",25.32266147057776,762,2
17,['SQUAD'],Uniform,"[2, 3]",25.769773914856003,762,2
18,['SQUAD'],Uniform,"[0, 4, 11]",786.7038891090858,762,3
19,['SQUAD'],Uniform,"[1, 8, 9]",26.417694273737688,762,3
20,['SQUAD'],Uniform,"[0, 2, 9]",851.2919384386474,762,3
21,['SQUAD'],Uniform,"[1, 6, 8]",28.29449047443094,762,3
22,['SQUAD'],Uniform,"[1, 5, 8]",29.01977862801657,762,3
23,['SQUAD'],Uniform,"[2, 4, 7, 11]",43.326016181366825,762,4
24,['SQUAD'],Uniform,"[1, 4, 5, 10]",33.3323890902366,762,4
25,['SQUAD'],Uniform,"[0, 3, 5, 9]",836.7749270813625,762,4
26,['SQUAD'],Uniform,"[3, 5, 8, 10]",33.468513348961444,762,4
27,['SQUAD'],Uniform,"[1, 6, 9, 11]",36.88427191861603,762,4
28,['SQUAD'],Uniform,"[1, 4, 6, 8, 9]",35.64548408249351,762,5
29,['SQUAD'],Uniform,"[4, 5, 7, 9, 11]",55.054608627324974,762,5
30,['SQUAD'],Uniform,"[1, 4, 6, 8, 11]",42.90068391115002,762,5
31,['SQUAD'],Uniform,"[0, 2, 3, 7, 10]",841.6441368178743,762,5
32,['SQUAD'],Uniform,"[0, 3, 5, 8, 9]",829.9745317792537,762,5
33,['SQUAD'],Uniform,"[0, 1, 2, 3, 9, 11]",815.7428563786444,762,6
34,['SQUAD'],Uniform,"[3, 4, 5, 6, 7, 11]",91.14091506692252,762,6
35,['SQUAD'],Uniform,"[1, 3, 4, 5, 9, 10]",54.24561540929449,762,6
36,['SQUAD'],Uniform,"[4, 6, 7, 8, 10, 11]",71.26301356773756,762,6
37,['SQUAD'],Uniform,"[1, 3, 6, 7, 8, 9]",47.90352171612548,762,6
38,['SQUAD'],Uniform,"[0, 1, 4, 5, 6, 9, 10]",800.8458394837686,762,7
39,['SQUAD'],Uniform,"[0, 1, 4, 6, 7, 8, 9]",825.7833373044682,762,7
40,['SQUAD'],Uniform,"[0, 2, 3, 5, 6, 7, 8]",850.1090760236107,762,7
41,['SQUAD'],Uniform,"[0, 3, 7, 8, 9, 10, 11]",852.8814093504806,762,7
42,['SQUAD'],Uniform,"[3, 4, 5, 6, 7, 8, 10]",86.17309068732277,762,7
43,['SQUAD'],Uniform,"[1, 2, 3, 5, 7, 9, 10, 11]",181.16419283899623,762,8
44,['SQUAD'],Uniform,"[0, 1, 4, 5, 7, 8, 9, 10]",826.0617755110693,762,8
45,['SQUAD'],Uniform,"[0, 1, 3, 4, 5, 6, 8, 10]",787.6625538597515,762,8
46,['SQUAD'],Uniform,"[0, 1, 4, 5, 6, 7, 10, 11]",819.0586000442702,762,8
47,['SQUAD'],Uniform,"[0, 1, 2, 4, 5, 7, 8, 9]",834.3043491161488,762,8
48,['SQUAD'],Uniform,"[0, 1, 2, 3, 4, 5, 6, 9, 11]",830.985925441573,762,9
49,['SQUAD'],Uniform,"[0, 1, 4, 6, 7, 8, 9, 10, 11]",891.6907953861208,762,9
50,['SQUAD'],Uniform,"[0, 1, 2, 3, 4, 5, 7, 9, 11]",844.3856436253726,762,9
51,['SQUAD'],Uniform,"[0, 1, 2, 3, 4, 5, 7, 8, 11]",819.1652292024697,762,9
52,['SQUAD'],Uniform,"[0, 1, 3, 4, 5, 6, 7, 9, 11]",839.9538409579208,762,9
53,['SQUAD'],Uniform,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11]",336.4058664989969,762,10
54,['SQUAD'],Uniform,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10]",859.1284995375615,762,10
55,['SQUAD'],Uniform,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",522.5448728510573,762,10
56,['SQUAD'],Uniform,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",431.3397064894653,762,10
57,['SQUAD'],Uniform,"[0, 1, 2, 3, 4, 6, 7, 8, 9, 10]",873.490849600034,762,10
58,['SQUAD'],Uniform,"[1, 6]",26.01389328875989,762,2
59,['SQUAD'],Uniform,"[6, 10]",27.15600798471191,762,2
60,['SQUAD'],Uniform,"[2, 11]",28.091997326246045,762,2
61,['SQUAD'],Uniform,"[4, 7]",27.182702498019133,762,2
62,['SQUAD'],Uniform,"[4, 8]",26.04136490343337,762,2
63,['SQUAD'],Uniform,"[1, 2, 10]",25.326175477079936,762,3
64,['SQUAD'],Uniform,"[3, 5, 6]",35.541172883168514,762,3
65,['SQUAD'],Uniform,"[1, 2, 4]",31.87056308569677,762,3
66,['SQUAD'],Uniform,"[1, 6, 7]",30.2292181963517,762,3
67,['SQUAD'],Uniform,"[2, 3, 9]",26.99081713905392,762,3
68,['SQUAD'],Uniform,"[3, 5, 9, 10]",34.29739712202578,762,4
69,['SQUAD'],Uniform,"[7, 9, 10, 11]",60.00086153592079,762,4
70,['SQUAD'],Uniform,"[4, 5, 9, 10]",36.89053370382247,762,4
71,['SQUAD'],Uniform,"[4, 6, 8, 11]",41.9557369732012,762,4
72,['SQUAD'],Uniform,"[4, 5, 7, 10]",36.58120235327365,762,4
73,['SQUAD'],Uniform,"[2, 3, 9, 10, 11]",56.43150765733117,762,5
74,['SQUAD'],Uniform,"[1, 2, 4, 5, 7]",60.956549340767324,762,5
75,['SQUAD'],Uniform,"[1, 4, 5, 8, 9]",38.59950639140882,762,5
76,['SQUAD'],Uniform,"[1, 3, 5, 6, 11]",53.16230386520075,762,5
77,['SQUAD'],Uniform,"[3, 5, 6, 7, 8]",53.95382898923308,762,5
78,['SQUAD'],Uniform,"[2, 4, 7, 8, 9, 10]",55.90292982989951,762,6
79,['SQUAD'],Uniform,"[1, 2, 4, 7, 8, 10]",48.00420148328836,762,6
80,['SQUAD'],Uniform,"[1, 3, 4, 5, 6, 10]",61.43794782972948,762,6
81,['SQUAD'],Uniform,"[2, 3, 4, 5, 8, 9]",96.32239659894384,762,6
82,['SQUAD'],Uniform,"[1, 2, 4, 7, 8, 10]",48.00420148328836,762,6
83,['SQUAD'],Uniform,"[1, 2, 4, 5, 6, 9, 11]",113.7600901745272,762,7
84,['SQUAD'],Uniform,"[1, 2, 6, 8, 9, 10, 11]",86.35395529400887,762,7
85,['SQUAD'],Uniform,"[1, 4, 5, 8, 9, 10, 11]",87.45856866072704,762,7
86,['SQUAD'],Uniform,"[1, 3, 5, 6, 8, 9, 11]",68.3124155596154,762,7
